"nom_methode_dpe","version_methode_dpe","date_etablissement_dpe","consommation_energie","classe_consommation_energie","estimation_ges","classe_estimation_ges","annee_construction","surface_thermique_lot","latitude","longitude","result_label","result_score","tr001_modele_dpe_type_libelle","tr002_type_batiment_description"
"3cl","V2012","2013-05-23",245,"E",73,"F",1960,155.5,45.423499,2.499579,"Rue des Cayres 15270 Lanobre",0.44,"Vente","Maison Individuelle"
"FACTURE - DPE","V2012","2013-04-09",29.62,"A",6.93,"B",2006,87.5,45.63127,0.166008,"Hameau des Rossignols 16000 Angoulême",0.76,"Neuf","Maison Individuelle"
"3CL - DPE","V2012","2013-04-11",0,"N",0,"N",1900,37.9,46.162162,-1.14895,"4 Rue des Cloutiers 17000 La Rochelle",0.86,"Vente","Logement"
"TROIS_CL_DPE","VERSION_2012","2013-05-03",165.11,"D",9.48,"B",1980,300.85,47.221019,2.111277,"Chemin des Fondereaux 18100 Vierzon",0.85,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-21",192,"D",9,"B",2009,115,45.225039,1.549779,"Chemin des Maurines 19270 Donzenac",0.59,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-26",153,"D",35,"D",2000,82,47.348848,5.055731,"21 Avenue Franklin Delano Roosevelt 21000 Dijon",0.66,"Vente","Logement"
"3CL - DPE","V2012","2013-05-02",335.87,"F",21.29,"D",1940,126,48.298592,-2.369789,"La Rouvrais 22250 Rouillac",0.74,"Vente","Maison Individuelle"
"FACTURE","VERSION_2012","2013-05-01",0,"A",0,"A",1930,47,46.159218,1.6450360000000002,"11 Rue des Petits Ouvriers 23240 Le Grand-Bourg",0.82,"Vente","Maison Individuelle"
"FACTURE - DPE","V2012","2013-05-02",0,"N",0,"N",1948,330,45.328875,0.582769,"Route de St Julien 24310 Bourdeilles",0.53,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-03",294,"E",16,"C",1993,40.95,47.51012,6.788939999999999,"48 b Rue des Potiers 25200 Montbéliard",0.95,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-17",206,"D",10,"B",2010,89,45.302334,5.002808,"Impasse des Acacias 26210 Manthes",0.51,"Vente","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-04-23",118.4,"C",27.7,"D",2008,106,49.173853,1.354522,"La Maison Rouge 27940 Le Val d'Hazey",0.26,"Location","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-26",262,"E",14,"C",1997,101,48.533711,1.6501689999999998,"8 Rue du Bout du Coudray 28320 Bailleau-Armenonville",0.94,"Vente","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-04-30",208,"D",48.67,"E",1966,77.15,48.000161999999996,-4.099582,"8 Rue de Creac H Al Lan 29000 Quimper",0.6,"Vente","Logement"
"Méthode Facture",,"2013-05-06",264,"E",8,"B",1947,64.93,41.917015,8.730966,"3 Rue Prosper Merimee 20000 Ajaccio",0.74,"Vente","Logement"
"3CL - DPE","V2012","2013-05-16",264.46,"E",11.81,"C",1982,28.25,42.707634000000006,9.442439,"Résidence Sainte-lucie 20200 Bastia",0.62,"Location","Logement"
"Méthode Facture",,"2013-04-19",192,"D",56,"F",1947,50.26,43.84939,4.363636,"243 Chemin du Mas du Diable 30000 Nîmes",0.67,"Location","Logement"
"3CL","3CL-DPE, version 1.3","2013-04-09",210,"D",11,"C",1989,58.31,43.559251,1.40593,"1 Rue Antoine de Malras 31100 Toulouse",0.89,"Vente","Logement"
"TROIS_CL_DPE","VERSION_2012","2013-04-19",208.37,"D",10.65,"B",1985,100,41.919987,8.729442,"Residence les Aloes Batiment E 20000 Ajaccio",0.52,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-09",207.68,"D",48.6,"E",1968,86.94,44.795835,-0.631546,"1 Rue Armand Calmon 33600 Pessac",0.78,"Vente","Logement"
"3CL - DPE","V2012","2013-04-13",140.77,"C",5.51,"A",2008,119,43.662396,3.941756,"7 Avenue Monteroni d'Arbia 34920 Le Crès",0.82,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-15",308,"E",51,"E",1962,64,48.09816,-1.789934,"35 Avenue des Erables 35650 Le Rheu",0.95,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-29",153,"D",41,"E",1947,85,46.717811,2.066757,"Le Boiscanteau 36400 La Berthenoux",0.85,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-16",180.78,"D",44.37,"E",1968,76.29,47.343663,0.661421,"16 Rue Jacques Poirrier 37300 Joué-lès-Tours",0.83,"Vente","Logement"
"Méthode Facture",,"2013-04-22",98,"C",22,"D",1947,58,45.453915,4.771102,"29 Rue Victor Hugo 38370 Les Roches-de-Condrieu",0.94,"Location","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-07",322,"E",18,"C",2001,62.4,46.674274,5.528376000000001,"5 Rue Léon et Cécile Mathy 39570 Montmorot",0.56,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-24",358,"F",4,"A",1948,83,43.979696999999994,-0.22727199999999997,"Route de Labastide 40240 Saint-Justin",0.94,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-17",296.34,"E",14.4,"C",1985,111.6,47.424793,1.151563,"9 Rue de la Carte 41400 Vallières-les-Grandes",0.81,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-25",229,"D",68,"F",1947,100.9,46.033081,4.234478,"Route de Lagresle 42840 Montagny",0.64,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-16",0,"N",0,"N",1947,45,44.937526,3.98509,"Route de Meymac 43150 Le Monastier-sur-Gazeille",0.76,"Vente","Logement"
"3CL - DPE","V2012","2013-04-16",213.02,"D",8.69,"B",2004,47.4,47.220261,-1.637269,"7 Rue Suzanne Lenglen 44800 Saint-Herblain",0.82,"Location","Logement"
"Méthode Facture",,"2013-04-18",172,"D",40,"E",1947,287.32,47.779423,1.6306370000000001,"20 Rue Porte Dieu 45190 Beaugency",0.95,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-08",180.29,"D",41.4,"E",1982,201,44.700764,1.414671,"Cote de Souillaguet 46300 Saint-Cirq-Souillaguet",0.57,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-07",149,"C",8,"B",2006,152.28,44.473437,0.23071599999999998,"Roussanes 47200 Birac-sur-Trec",0.94,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-05-18",0,"N",0,"N",1947,75,44.856381,3.4131169999999997,"Fraissinet Langlade 48140 Le Malzieu-Forain",0.94,"Vente","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-04-19",104.67,"C",5.47,"A",1985,300,47.461416,-0.598669,"2 Rue du Hameau de la Fontaine 49000 Angers",0.44,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-16",173,"D",40,"E",1948,136,49.115321,-1.075876,"250 Rue des Mimosas 50000 Saint-Lô",0.87,"Vente","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-05-03",269.24,"E",15.56,"C",1991,2591,49.242573,4.023546,"145 Rue de Courlancy 51100 Reims",0.46,"Vente","Bâtiment collectif à usage principal d'habitation"
"Méthode Facture",,"2013-05-06",184,"D",5,"A",1947,220,48.637541999999996,4.945704,"22 Avenue de la République 52100 Saint-Dizier",0.9,"Vente","Logement"
"Méthode Facture",,"2013-04-23",131,"C",27,"D",1947,166.14,48.437556,-0.495367,"6 Rue Saint-sauveur 53110 Lassay-les-Châteaux",0.94,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-20",565,"G",30,"D",1948,85.5,48.508726,6.766261999999999,"14 Grande Rue 54120 Reherrey",0.93,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-10",323,"E",17,"C",1975,142,48.759469,5.151033999999999,"10 Rue de la Chenaie 55000 Bar-le-Duc",0.88,"Vente","Maison Individuelle"
"Facture","facture","2013-04-14",0,"N",0,"N",1983,38.97,47.795653,-3.278287,"5 Rue du Cabotage 56700 Hennebont",0.95,"Vente","Bâtiments ou partie de bâtiment à usage principal autre que d'habitation"
"TROIS_CL_DPE","VERSION_2012","2013-04-23",254.5,"E",59.78,"F",1964,143.7,49.025675,6.624157,"12 Rue de l'École 57380 Vahl-lès-Faulquemont",0.81,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-03",124.03,"C",29.02,"D",2008,140,46.994118,3.0807580000000003,"21 Impasse du Caillat 58180 Marzy",0.84,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-16",0,"N",0,"N",1947,65,50.436376,3.5598339999999995,"17 Rue Edouard Vaillant 59970 Fresnes-sur-Escaut",0.95,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-22",329,"E",20,"C",1948,150,49.417873,2.6526970000000003,"380 Rue de la Chaussée 60190 Moyvillers",0.94,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-18",555,"G",27,"D",1948,70,48.560325,-0.66204,"La Fiaudiere Ouest 61330 Torchamp",0.93,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-12",260,"E",8,"B",1,75.47,50.421676,2.990944,"Rue de l'Egalité 62950 Noyelles-Godault",0.64,"Neuf","Maison Individuelle"
"3CL - DPE","V2012","2013-04-24",699.89,"G",133.05,"G",1952,96.12,45.430434999999996,3.301614,"ZAC Puy Bayard 63570 Brassac-les-Mines",0.46,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-19",212.95,"D",9.92,"B",1965,65.65,43.296766999999996,-0.366915,"7 Rue du Marechal Foch 64000 Pau",0.78,"Location","Logement"
"3CL - DPE","V2012","2013-04-16",202.29,"D",41.68,"E",1900,50.66,45.035581,5.209172,"Chemin du Jeu 26730 Hostun",0.29,"Location","Logement"
"3CL - DPE","V2012","2013-04-08",0,"N",0,"N",1900,142,42.552071000000005,2.242372,"Cabrils 66360 Ayguatébia-Talau",0.64,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-19",293.64,"E",46.81,"E",1974,189.5,48.286072,7.308782000000001,"2 Rue Himmelsleiter 67730 La Vancelle",0.59,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-24",244,"E",13,"C",2006,116,47.970763,7.487133,"14 Rue Pierre Uhry 68600 Dessenheim",0.94,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-12",166.81,"D",39.03,"E",1960,76.08,45.690778,4.857897,"1 Allée de Nice 69190 Saint-Fons",0.84,"Location","Logement"
"3CL - DPE","V2012","2013-05-03",226.21,"D",10.44,"B",2006,115,47.887674,6.383573999999999,"3 Les Chavannes 70220 Fougerolles-Saint-Valbert",0.57,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-22",0,"N",0,"N",1947,147,46.492533,4.281974,"Place de Barnot 71120 Baron",0.93,"Vente","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-04-26",640.97,"G",124.5,"G",1980,50,48.010781,0.20445,"Villa de Tesse 72000 Le Mans",0.32,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-03",347.26,"F",81.26,"G",1850,70,45.707938,5.914516000000001,"34 Che de Saint Simond 73100 Aix-les-Bains",0.69,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-15",430,"F",27,"D",1976,101.45,46.270934000000004,6.261837,"277 d Rte des Trepets 74140 Veigy-Foncenex",0.86,"Vente","Maison Individuelle"
"FACTURE","VERSION_2012","2013-04-14",188.83,"D",6.14,"B",1850,38.9,48.848469,2.374087,"55 Rue Traversière 75012 Paris",0.84,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-23",400,"F",23,"D",1978,48,50.057682,1.382506,"2 Rue Alexandre Papin 76470 Le Tréport",0.61,"Location","Logement"
"TROIS_CL_DPE","VERSION_2012","2013-04-16",309.98,"E",72.53,"F",1955,68.5,48.819687,3.096135,"9 Rue Georges Clémenceau 77120 Coulommiers",0.82,"Vente","Maison Individuelle"
"FACTURE","VERSION_2012","2013-04-18",0,"A",0,"A",1927,134.1,48.791002,1.599101,"80 Rue de Paris 78550 Houdan",0.74,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-12",72.22,"B",19.79,"C",1947,58.5,46.869764,-0.393696,"5 Gare de Noirterre 79300 Bressuire",0.36,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-10",0,"N",0,"N",1947,36,49.896665999999996,2.285841,"27 Passage Couvreur 80000 Amiens",0.96,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-07",264,"E",15,"C",2207,123.66,43.917004,2.262075,"11 Chemin de Las Moussoulieyros 81990 Cambon",0.76,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-15",233,"E",11,"C",2006,90,43.837398,1.288564,"19 Rue des Peupliers 82170 Grisolles",0.95,"Vente","Maison Individuelle"
"Facture","facture","2013-04-10",0,"N",0,"N",1948,120,43.582296,6.275228,"Route de Salernes 83690 Villecroze",0.51,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-18",341,"F",73,"F",1948,56.39,43.884971,5.446307,"Les Auberts 84400 Saignon",0.94,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-02",241,"E",12,"C",1978,74,46.526133,-0.8594139999999999,"73 Rue de Fontenay 85570 Marsais-Sainte-Radégonde",0.72,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-16",321,"E",75,"F",1948,43,46.420962,0.8696459999999999,"58 bis Avenue du Général de Gaulle 86500 Montmorillon",0.95,"Location","Logement"
"3CL - DPE","V2012","2013-04-16",246.19,"E",12.19,"C",1986,165,45.895285,0.893884,"1 Rue Jean Cocteau 87200 Saint-Junien",0.81,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-15",0,"N",0,"N",1947,89,48.369402,6.957634,"265 Rue de Fontenelle 88420 Moyenmoutier",0.69,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-26",167,"C",5,"A",1,159.5,47.693287,3.9898910000000005,"16 Route d'Auxerre 89310 Noyers",0.78,"Vente","Bâtiments ou partie de bâtiment à usage principal autre que d'habitation"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-17",131,"C",30,"D",2010,85.61,47.62811,6.924019,"1 Impasse de la Mairie 90340 Chèvremont",0.94,"Location","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-18",348,"F",18,"C",2006,40.74,48.687442,2.354444,"3 Avenue des Iris 91600 Savigny-sur-Orge",0.95,"Location","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-22",349,"F",21,"D",1989,97,48.773324,2.25732,"Voie de l'Orme Mort 92350 Le Plessis-Robinson",0.54,"Location","Logement"
"FACTURE","VERSION_2012","2013-04-16",238.69,"E",55.85,"E",1930,81,48.959346000000004,2.351943,"40 Rue Gabriel Péri 93430 Villetaneuse",0.81,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-24",163,"D",38,"E",1947,174,48.840152,2.4694700000000003,"70 Boulevard Gambetta 94130 Nogent-sur-Marne",0.95,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-13",155,"D",5,"A",1947,168,49.033095,2.464116,"21 Rue Ampere 95190 Goussainville",0.95,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-18",258,"E",15,"C",1989,98,46.110510999999995,4.968064,"11 Impasse du Lac 01400 Châtillon-sur-Chalaronne",0.72,"Location","Maison Individuelle"
"Méthode Facture",,"2013-04-30",172,"D",40,"E",1947,140.16,49.903399,3.628914,"350 Rue Sadi Carnot 02120 Guise",0.74,"Location","Maison Individuelle"
"Méthode Facture",,"2013-05-02",422,"F",77,"F",1947,72.7,46.551459,3.349076,"24 Rue Jenner 03400 Yzeure",0.95,"Vente","Logement"
"3CL - DPE","V2012","2013-05-18",211,"D",12,"C",2006,121,43.822629,5.858897,"75 Les Chabrands 04210 Valensole",0.83,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-05-03",0,"N",0,"N",1,44,44.7612,6.6127,"La Roche-de-Rame",0.76,"Vente","Bâtiments ou partie de bâtiment à usage principal autre que d'habitation"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-15",286,"E",45,"E",1948,50.71,43.720401,7.26307,"6 Avenue Henry Dunant 06100 Nice",0.61,"Location","Logement"
"TROIS_CL_DPE","VERSION_2012","2013-04-22",290.44,"E",37.01,"E",1990,105,44.568940999999995,4.446495,"Chemin de la Cavalle 07170 Lavilledieu",0.51,"Vente","Maison Individuelle"
"FACTURE","VERSION_2012","2013-05-06",451.16,"G",10.1,"B",1900,71,49.758117999999996,4.712404,"4 Boulevard de Chatillon 08000 Charleville-Mézières",0.85,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-05-14",153,"D",35,"D",1947,72,43.27557,1.346388,"36 Rue Francois Verdier 09210 Lézat-sur-Lèze",0.94,"Vente","Logement"
"3CL - DPE","2012","2013-05-06",442.95,"F",103.65,"G",1949,126,48.295660999999996,4.047286,"73 Rue Louis Blanc 10300 Sainte-Savine",0.81,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-22",158,"D",7,"B",2006,40,43.186777,2.99823,"Quai d'Alsace 11100 Narbonne",0.54,"Vente","Logement"
"Méthode Facture",,"2013-05-14",69,"B",4,"A",1947,60,43.7198,2.9518,"Arnac-sur-Dourdou",0.66,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-16",433,"F",24,"D",1948,24.98,43.305292,5.39927,"78 Avenue des Chartreux 13004 Marseille",0.81,"Location","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-19",172,"D",40,"E",1983,104,49.32868,-0.442226,"26 Rue des Petits Champs 14470 Courseulles-sur-Mer",0.95,"Vente","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-05-27",1020.86,"G",63.9,"F",1996,31.5,44.839529,2.993065,"Le Moulin Marseillais 15110 Chaudes-Aigues",0.57,"Vente","Maison Individuelle"
"FACTURE - DPE","V2012","2013-04-09",30.38,"A",7.11,"B",2006,87.5,45.63127,0.166008,"Hameau des Rossignols 16000 Angoulême",0.76,"Neuf","Maison Individuelle"
"3CL - DPE","V2012","2013-04-11",0,"N",0,"N",1900,25.6,46.162162,-1.14895,"4 Rue des Cloutiers 17000 La Rochelle",0.86,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-02",304,"E",17,"C",1978,118.2,47.00873,2.35963,"16 Rue du Paradis 18570 Trouy",0.94,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-22",246,"E",12,"C",2001,34,45.156948,1.552482,"39 Rue Descartes 19100 Brive-la-Gaillarde",0.52,"Location","Logement"
"Méthode Facture",,"2013-04-29",236,"E",36,"E",1947,82.7,47.309413,5.042121,"43 Rue des Lilas 21000 Dijon",0.96,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-03",130,"C",30,"D",1989,77.4,48.496249,-2.79555,"5 Rue du Muguet 22440 Ploufragan",0.95,"Vente","Maison Individuelle"
"FACTURE","VERSION_2012","2013-05-02",0,"A",0,"A",1900,135.5,46.221265,1.8059939999999999,"Chardet 23000 Saint-Sulpice-le-Guérétois",0.65,"Vente","Maison Individuelle"
"FACTURE - DPE","V2012","2013-05-02",0,"N",0,"N",1948,330,45.328875,0.582769,"Route de St Julien 24310 Bourdeilles",0.53,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-04",301,"E",15,"C",1978,131.8,47.483708,6.7291929999999995,"17 Rue des Fleurs 25550 Bavans",0.94,"Vente","Maison Individuelle"
"FACTURE","VERSION_2012","2013-04-22",0,"A",0,"A",1800,43,44.557977,4.749046,"15 Rue Raymond Daujat 26200 Montélimar",0.62,"Location","Logement"
"TROIS_CL_DPE","VERSION_2012","2013-04-23",263.05,"E",3.58,"A",1967,110,49.394961,1.467596,"9 Le Val Soret 27480 Lyons-la-Forêt",0.59,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-29",256,"E",12,"C",1989,120,48.654084000000005,1.5074370000000001,"80 Rue des Tuileries 28210 Chaudon",0.91,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-02",187,"D",8,"B",2006,90,48.393195,-4.532394999999999,"60 Rue Agatha Christie 29200 Brest",0.96,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-03",145,"C",6,"B",2004,166.22,41.977470000000004,8.797655,"Chioso Communo 20167 Afa",0.51,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-15",436.93,"F",25.72,"D",1950,74,42.366234000000006,9.497708,"Fano 20230 San-Nicolao",0.47,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-19",630,"G",37,"E",1948,27.24,43.51112,4.1328510000000005,"Route des Marines 30240 Le Grau-du-Roi",0.48,"Vente","Logement"
"3CL","3CL-DPE, version 1.3","2013-04-08",177,"D",9,"B",2001,70.66,43.633340000000004,1.43434,"6 Rue Paul Verlaine 31200 Toulouse",0.97,"Vente","Logement"
"TROIS_CL_DPE","VERSION_2012","2013-04-19",208.37,"D",10.65,"B",1985,100,41.919987,8.729442,"Residence les Aloes Batiment E 20000 Ajaccio",0.52,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-12",139,"C",32,"D",1948,123.76,44.751222,-0.637876,"15 Allée des Pins 33610 Canéjan",0.95,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-15",315.86,"E",15.33,"C",1988,102,43.560845,3.951024,"5 Place Jean Moulin 34470 Pérols",0.77,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-16",150,"C",6,"B",2008,55,48.369642,-1.87435,"3 Rue Nationale 35190 Saint-Domineuc",0.94,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-30",241,"E",12,"C",1978,105.6,46.894709000000006,1.6391950000000002,"8 Lotissement les Ormes 36110 Vineuil",0.56,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-22",329,"E",98,"G",1948,82,47.309742,0.199206,"Les Clos Noyers 37140 Benais",0.94,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-22",183,"D",41,"E",1948,130,45.564659000000006,4.824552,"220 Chemin du Vieux Château 38200 Seyssuel",0.94,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-06",380.64,"F",23.73,"D",1980,120,47.084371999999995,5.473147,"29 Rue Prince de Condé 39100 Dole",0.74,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-18",131,"C",30,"D",1984,78.4,43.813581,-0.819041,"7 Route de Tartas 40400 Audon",0.46,"Vente","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-04-18",105.48,"C",4.52,"A",2011,166,47.311209999999996,2.028066,"Rue le Chemin Vert 41300 Theillay",0.63,"Location","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-27",149,"C",26,"D",2006,89.5,46.045433,3.9893419999999997,"590 Rue des Charmilles 42155 Pouilly-les-Nonains",0.77,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-17",143,"C",33,"D",1948,86,45.28796,4.168608,"22 Avenue du 11 Novembre 43120 Monistrol-sur-Loire",0.81,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-17",120,"C",5,"A",2006,100,47.2542,-2.1525939999999997,"Impasse Paul Cézanne 44250 Saint-Brevin-les-Pins",0.9,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-18",211,"D",34,"D",1978,138,47.76919,1.622254,"9 bis Rue des Aigres Feuilles 45190 Beaugency",0.95,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-07",292.39,"E",3.88,"A",1978,173.2,44.541139,1.0898290000000002,"Lieu Dit Cuzorn 46700 Montcabrier",0.51,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-05-07",0,"N",0,"N",1947,84.77,44.575708,0.344434,"Chemin des Charbonniers 47800 Miramont-de-Guyenne",0.78,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-05-18",0,"N",0,"N",1947,95,44.700857,3.4615080000000003,"Vidales Village 48700 Les Laubies",0.74,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-22",159,"D",37,"E",1947,198,47.2578,-0.082738,"27 Rue d'Alsace 49400 Saumur",0.95,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-16",352,"F",93,"G",1947,217,49.510345,-1.4693889999999998,"26 Rue de Poterie 50700 Valognes",0.95,"Vente","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-05-03",311.1,"E",14.88,"C",2007,90,48.858483,3.5219970000000003,"1 Rue de la Croix Passant 51210 Mécringes",0.84,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-03",429.44,"F",107.19,"G",1969,103.2,48.483576,4.768576,"34 Rue du Haut des Vignes 52220 La Porte du Der",0.57,"Location","Maison Individuelle"
"3CL - DPE","V2012","2013-04-22",484.41,"G",28.81,"D",1974,68.06,48.329034,-0.710009,"Moulin Clement 53100 Châtillon-sur-Colmont",0.5,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-23",560,"G",35,"D",1948,99.5,,,,,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-30",626,"G",146,"G",1948,117.48,49.147948,5.385313,"10 Rue du General Corda 55100 Verdun",0.95,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-15",245.16,"E",13.21,"C",1984,99.62,47.802954,-3.445386,"3 Impasse des Bruyères 56530 Gestel",0.78,"Vente","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-04-23",291.34,"E",87.4,"G",1976,242,49.301421000000005,6.527146,"26 Rue du Luxembourg 57320 Bouzonville",0.8,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-03",148.17,"C",34.67,"D",2006,94.45,46.749931,3.4840459999999998,"14 Route de Decize 58300 Cossaye",0.76,"Location","Maison Individuelle"
"Méthode Facture",,"2013-04-12",0,"N",0,"N",1947,18.6,50.446628000000004,3.59289,"9 Rue du Quesnoy 59163 Condé-sur-l'Escaut",0.74,"Location","Logement"
"Méthode Facture",,"2013-04-12",226,"D",7,"B",1,89.1,49.570358,2.12105,"Rue d'Amiens 60360 Auchy-la-Montagne",0.94,"Neuf","Maison Individuelle"
"Méthode Facture",,"2013-04-17",0,"N",0,"N",1947,78,48.816715,-0.09527200000000001,"Lieu Dit Clinchamps 61160 Montabard",0.93,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-12",254,"E",8,"B",1,75.48,50.416571999999995,2.999413,"Rue Arthur Lamendin 62950 Noyelles-Godault",0.57,"Neuf","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-30",356,"F",21,"D",2001,80,46.013846,3.16121,"5 Rue des Recontents - Glenat 63460 Artonne",0.79,"Vente","Maison Individuelle"
